event_id,session_id,user_id,event_time,event_name,page_name
EVT000001,SES00001,USER0001,2025-10-29 08:02:05,page_view,/pricing
EVT000002,SES00001,USER0001,2025-10-29 08:06:05,view_pricing,/pricing
EVT000003,SES00001,USER0001,2025-10-29 08:06:05,signup_started,/pricing
EVT000004,SES00001,USER0001,2025-10-29 08:14:05,signup_completed,/pricing
EVT000005,SES00001,USER0001,2025-10-29 08:22:05,activation_completed,/pricing
EVT000006,SES00002,USER0001,2025-10-24 20:56:00,page_view,/signup
EVT000007,SES00002,USER0001,2025-10-24 20:57:00,view_pricing,/signup
EVT000008,SES00002,USER0001,2025-10-24 20:58:00,signup_started,/signup
EVT000009,SES00002,USER0001,2025-10-24 21:08:00,signup_completed,/signup
EVT000010,SES00002,USER0001,2025-10-24 21:00:00,activation_completed,/signup
EVT000011,SES00003,USER0001,2025-10-27 21:23:38,page_view,/home
EVT000012,SES00003,USER0001,2025-10-27 21:24:38,view_pricing,/home
EVT000013,SES00003,USER0001,2025-10-27 21:33:38,signup_started,/home
EVT000014,SES00003,USER0001,2025-10-27 21:32:38,signup_completed,/home
EVT000015,SES00004,USER0001,2025-11-11 18:40:56,page_view,/demo
EVT000016,SES00004,USER0001,2025-11-11 18:41:56,view_pricing,/demo
EVT000017,SES00004,USER0001,2025-11-11 18:44:56,signup_started,/demo
EVT000018,SES00004,USER0001,2025-11-11 18:43:56,signup_completed,/demo
EVT000019,SES00004,USER0001,2025-11-11 18:56:56,activation_completed,/demo
EVT000020,SES00005,USER0001,2025-10-24 15:41:53,page_view,/pricing
EVT000021,SES00005,USER0001,2025-10-24 15:46:53,view_pricing,/pricing
EVT000022,SES00005,USER0001,2025-10-24 15:45:53,signup_started,/pricing
EVT000023,SES00005,USER0001,2025-10-24 15:56:53,signup_completed,/pricing
EVT000024,SES00005,USER0001,2025-10-24 15:49:53,activation_completed,/pricing
EVT000025,SES00006,USER0002,2025-04-26 09:14:58,page_view,/signup
EVT000026,SES00006,USER0002,2025-04-26 09:16:58,view_pricing,/signup
EVT000027,SES00006,USER0002,2025-04-26 09:20:58,signup_started,/signup
EVT000028,SES00006,USER0002,2025-04-26 09:20:58,signup_completed,/signup
